gene_id	cons_num	cons_bp	cons_prop
ENSG00000026103	22	1615	0.0319796
ENSG00000026297	7	666	0.0131879
ENSG00000026508	17	725	0.0143562
ENSG00000026559	13	995	0.0197026
ENSG00000026652	7	659	0.0130492
ENSG00000026751	1	52	0.0010297
ENSG00000026950	16	630	0.0124750
ENSG00000027001	22	864	0.0171086
ENSG00000027075	31	3755	0.0743550
ENSG00000027644	81	5634	0.1115621
ENSG00000027697	6	455	0.0090097
ENSG00000027847	18	2095	0.0414843
ENSG00000027869	64	5793	0.1147106
ENSG00000028116	86	10139	0.2007683
ENSG00000028137	13	814	0.0161185
ENSG00000028203	51	3108	0.0615433
ENSG00000028277	29	6334	0.1254233
ENSG00000028310	0	0	0.0000000
ENSG00000028528	22	2160	0.0427714
ENSG00000028839	5	284	0.0056237
ENSG00000029153	38	4566	0.0904141
ENSG00000029363	11	476	0.0094256
ENSG00000029364	24	1931	0.0382369
ENSG00000029534	35	6480	0.1283143
ENSG00000029559	13	1285	0.0254450
ENSG00000029639	23	2801	0.0554642
ENSG00000029725	3	418	0.0082771
ENSG00000029993	14	1036	0.0205144
ENSG00000030066	24	1986	0.0393260
ENSG00000030110	29	1832	0.0362765
ENSG00000030304	18	1498	0.0296628
ENSG00000030419	37	3563	0.0705531
ENSG00000030582	33	3178	0.0629294
ENSG00000031003	25	1781	0.0352666
ENSG00000031081	14	1161	0.0229896
ENSG00000031691	32	3146	0.0622958
ENSG00000031698	39	4136	0.0818994
ENSG00000031823	21	2134	0.0422566
ENSG00000032219	27	2340	0.0463357
ENSG00000032389	13	1149	0.0227520
ENSG00000032444	34	3412	0.0675630
ENSG00000032742	3	118	0.0023366
ENSG00000033011	35	2967	0.0587513
ENSG00000033030	48	5441	0.1077404
ENSG00000033050	70	6761	0.1338785
ENSG00000033100	67	5200	0.1029683
ENSG00000033122	8	640	0.0126730
ENSG00000033170	29	2745	0.0543554
ENSG00000033178	5	945	0.0187125
ENSG00000033327	44	3090	0.0611869
ENSG00000033627	21	1437	0.0284549
ENSG00000033800	20	1231	0.0243758
ENSG00000033867	26	1258	0.0249104
ENSG00000034053	0	0	0.0000000
ENSG00000034152	12	709	0.0140393
ENSG00000034239	26	1730	0.0342567
ENSG00000034510	7	1078	0.0213461
ENSG00000034533	32	1983	0.0392665
ENSG00000034677	23	1904	0.0377022
ENSG00000034693	44	3228	0.0639195
ENSG00000034713	40	2217	0.0439001
ENSG00000034971	18	1021	0.0202174
ENSG00000035115	21	1886	0.0373458
ENSG00000035141	2	185	0.0036633
ENSG00000035403	17	1517	0.0300390
ENSG00000035499	3	162	0.0032079
ENSG00000035664	32	3081	0.0610087
ENSG00000035681	11	941	0.0186333
ENSG00000035687	7	385	0.0076236
ENSG00000035720	19	967	0.0191481
ENSG00000035862	17	958	0.0189699
ENSG00000035928	21	1765	0.0349498
ENSG00000036054	32	1961	0.0388309
ENSG00000036257	22	2494	0.0493852
ENSG00000036448	18	854	0.0169106
ENSG00000036473	36	2129	0.0421576
ENSG00000036530	26	2162	0.0428110
ENSG00000036549	37	4092	0.0810281
ENSG00000036565	37	2748	0.0544148
ENSG00000036672	16	1048	0.0207521
ENSG00000036828	10	782	0.0154848
ENSG00000037042	28	2970	0.0588107
ENSG00000037241	31	2250	0.0445536
ENSG00000037280	4	250	0.0049504
ENSG00000037474	12	728	0.0144156
ENSG00000037637	24	3094	0.0612661
ENSG00000037749	34	1850	0.0366329
ENSG00000037757	19	1832	0.0362765
ENSG00000037897	46	5278	0.1045128
ENSG00000037965	100	18388	0.3641116
ENSG00000038002	29	2156	0.0426922
ENSG00000038210	47	4750	0.0940575
ENSG00000038219	9	518	0.0102572
ENSG00000038274	38	3113	0.0616423
ENSG00000038295	45	2843	0.0562959
ENSG00000038358	53	5078	0.1005525
ENSG00000038382	22	1323	0.0261975
ENSG00000038427	34	2200	0.0435635
ENSG00000038532	42	2312	0.0457813
ENSG00000038945	11	819	0.0162175
ENSG00000039068	20	1404	0.0278014
ENSG00000039123	44	4784	0.0947308
ENSG00000039139	13	1222	0.0241975
ENSG00000039319	5	235	0.0046534
ENSG00000039523	14	789	0.0156235
ENSG00000039537	25	1949	0.0385933
ENSG00000039560	23	1484	0.0293856
ENSG00000039600	13	675	0.0133661
ENSG00000039650	24	2918	0.0577810
ENSG00000039987	52	5978	0.1183739
ENSG00000040199	60	6963	0.1378785
ENSG00000040275	49	3320	0.0657413
ENSG00000040341	17	3164	0.0626522
ENSG00000040487	42	2547	0.0504346
ENSG00000040531	28	3025	0.0598998
ENSG00000040608	12	1162	0.0230094
ENSG00000040633	69	7582	0.1501356
ENSG00000040731	15	1667	0.0330092
ENSG00000040933	4	1280	0.0253460
ENSG00000041353	21	1259	0.0249302
ENSG00000041357	28	2634	0.0521574
ENSG00000041515	11	755	0.0149502
ENSG00000041802	29	2408	0.0476822
ENSG00000041880	25	1630	0.0322766
ENSG00000041982	34	1980	0.0392071
ENSG00000041988	66	6997	0.1385517
ENSG00000042062	27	2306	0.0456625
ENSG00000042088	38	2970	0.0588107
ENSG00000042286	36	2793	0.0553058
ENSG00000042317	14	1006	0.0199204
ENSG00000042429	26	2357	0.0466723
ENSG00000042445	29	2111	0.0418012
ENSG00000042493	14	933	0.0184749
ENSG00000042753	16	1625	0.0321776
ENSG00000042781	31	2953	0.0584741
ENSG00000042813	14	787	0.0155838
ENSG00000042832	32	4477	0.0886517
ENSG00000042980	3	181	0.0035841
ENSG00000043039	22	1426	0.0282371
ENSG00000043093	22	1064	0.0210689
ENSG00000043143	17	2554	0.0505733
ENSG00000043355	68	10263	0.2032237
ENSG00000043462	17	959	0.0189897
ENSG00000043514	53	5276	0.1044732
ENSG00000043591	47	2638	0.0522366
ENSG00000044012	10	787	0.0155838
ENSG00000044090	76	5942	0.1176610
ENSG00000044115	52	4025	0.0797014
ENSG00000044446	67	6231	0.1233837
ENSG00000044459	21	2417	0.0478604
ENSG00000044524	22	1828	0.0361973
ENSG00000044574	18	1085	0.0214847
ENSG00000046604	55	2698	0.0534247
ENSG00000046647	44	2455	0.0486129
ENSG00000046651	30	2590	0.0512861
ENSG00000046653	34	2713	0.0537217
ENSG00000046774	5	292	0.0057821
ENSG00000046889	33	2143	0.0424348
ENSG00000047056	31	2463	0.0487713
ENSG00000047188	17	1519	0.0300786
ENSG00000047230	28	1901	0.0376428
ENSG00000047249	20	995	0.0197026
ENSG00000047315	57	4542	0.0899388
ENSG00000047346	44	5703	0.1129285
ENSG00000047365	43	2571	0.0509099
ENSG00000047410	39	2500	0.0495040
ENSG00000047457	39	2098	0.0415437
ENSG00000047578	21	1921	0.0380388
ENSG00000047579	18	1273	0.0252074
ENSG00000047597	50	3896	0.0771470
ENSG00000047617	35	1983	0.0392665
ENSG00000047621	16	765	0.0151482
ENSG00000047634	86	10233	0.2026297
ENSG00000047644	9	1355	0.0268312
ENSG00000047648	48	3954	0.0782955
ENSG00000047662	33	3620	0.0716817
ENSG00000047849	10	603	0.0119404
ENSG00000047932	22	1980	0.0392071
ENSG00000047936	4	177	0.0035049
ENSG00000048028	28	3178	0.0629294
ENSG00000048052	35	3282	0.0649888
ENSG00000048140	38	2943	0.0582761
ENSG00000048162	18	1406	0.0278410
ENSG00000048342	30	2605	0.0515831
ENSG00000048392	37	6163	0.1220372
ENSG00000048405	10	915	0.0181185
ENSG00000048462	8	862	0.0170690
ENSG00000048471	11	495	0.0098018
ENSG00000048540	17	2847	0.0563751
ENSG00000048544	61	4844	0.0959189
ENSG00000048545	34	2048	0.0405537
ENSG00000048649	8	812	0.0160789
ENSG00000048707	11	545	0.0107919
ENSG00000048740	45	3040	0.0601968
ENSG00000048828	6	920	0.0182175
ENSG00000048991	17	1106	0.0219006
ENSG00000049089	2	113	0.0022376
ENSG00000049130	19	1618	0.0320390
ENSG00000049167	9	515	0.0101978
ENSG00000049192	27	2406	0.0476426
ENSG00000049239	1	9	0.0001782
ENSG00000049245	51	7423	0.1469872
ENSG00000049246	57	7904	0.1565118
ENSG00000049247	11	485	0.0096038
ENSG00000049249	16	980	0.0194056
ENSG00000049283	60	2986	0.0591275
ENSG00000049323	32	1788	0.0354052
ENSG00000049449	20	2569	0.0508703
ENSG00000049540	30	2317	0.0458803
ENSG00000049541	5	397	0.0078612
ENSG00000049618	37	4247	0.0840973
ENSG00000049656	3	229	0.0045346
ENSG00000049759	14	932	0.0184551
ENSG00000049768	25	3378	0.0668898
ENSG00000049769	48	4002	0.0792460
ENSG00000049860	63	5851	0.1158591
ENSG00000049883	17	808	0.0159997
ENSG00000050030	24	1925	0.0381181
ENSG00000050130	28	2315	0.0458407
ENSG00000050165	6	478	0.0094652
ENSG00000050327	12	704	0.0139403
ENSG00000050344	9	856	0.0169502
ENSG00000050393	4	278	0.0055048
ENSG00000050405	15	1518	0.0300588
ENSG00000050426	22	1539	0.0304746
ENSG00000050438	32	2813	0.0557019
ENSG00000050555	2	63	0.0012475
ENSG00000050628	41	4626	0.0916021
ENSG00000050730	18	1359	0.0269104
ENSG00000050748	25	2778	0.0550088
ENSG00000050767	25	4442	0.0879587
ENSG00000050820	25	1316	0.0260589
ENSG00000051009	36	3588	0.0710481
ENSG00000051108	22	1985	0.0393062
ENSG00000051128	12	642	0.0127126
ENSG00000051180	21	1915	0.0379200
ENSG00000051341	15	1008	0.0199600
ENSG00000051382	13	886	0.0175442
ENSG00000051523	35	2786	0.0551672
ENSG00000051596	0	0	0.0000000
ENSG00000051620	13	806	0.0159601
ENSG00000051825	39	2525	0.0499990
ENSG00000052126	33	2113	0.0418408
ENSG00000052344	39	2977	0.0589493
ENSG00000052723	18	1286	0.0254648
ENSG00000052749	83	7079	0.1401754
ENSG00000052795	9	950	0.0188115
ENSG00000052802	35	5189	0.1027504
ENSG00000052841	40	3789	0.0750282
ENSG00000052850	50	4094	0.0810677
ENSG00000053108	16	1669	0.0330488
ENSG00000053254	40	3347	0.0662759
ENSG00000053328	32	2200	0.0435635
ENSG00000053371	37	3078	0.0609493
ENSG00000053372	38	3609	0.0714639
ENSG00000053438	43	5475	0.1084137
