Gene stable ID	Chromosome/scaffold name	Transcription start site (TSS)	Gene name
ENSG00000175550	11	65919257	DRAP1
ENSG00000100146	22	37984537	SOX10
ENSG00000100146	22	37987422	SOX10
ENSG00000175592	11	65900419	FOSL1
ENSG00000175592	11	65900526	FOSL1
ENSG00000139515	13	27920020	PDX1
ENSG00000127124	1	41662325	HIVEP3
ENSG00000127124	1	41918498	HIVEP3
ENSG00000127124	1	41918707	HIVEP3
ENSG00000172059	2	10043555	KLF11
ENSG00000172059	2	10044245	KLF11
ENSG00000172059	2	10043829	KLF11
ENSG00000173253	9	1049858	DMRT2
ENSG00000173253	9	1050354	DMRT2
ENSG00000173253	9	1050355	DMRT2
ENSG00000173253	9	1051614	DMRT2
ENSG00000120094	17	48530997	HOXB1
ENSG00000120094	17	48531001	HOXB1
ENSG00000120094	17	48530910	HOXB1
ENSG00000116833	1	200027602	NR5A2
ENSG00000116833	1	200027614	NR5A2
ENSG00000116833	1	200043810	NR5A2
ENSG00000116833	1	200042825	NR5A2
ENSG00000188620	10	123135962	HMX3
ENSG00000152217	18	44680173	SETBP1
ENSG00000152217	18	44680898	SETBP1
ENSG00000169375	15	75451704	SIN3A
ENSG00000145088	3	121835215	EAF2
ENSG00000181449	3	181711924	SOX2
ENSG00000111046	12	80707498	MYF6
ENSG00000066422	3	101677495	ZBTB11
ENSG00000173875	19	12610918	ZNF791
ENSG00000137709	11	120236640	POU2F3
ENSG00000137709	11	120240194	POU2F3
ENSG00000137709	11	120240261	POU2F3
ENSG00000137709	11	120305644	POU2F3
ENSG00000249709	19	12551529	ZNF564
ENSG00000185947	16	31873758	ZNF267
ENSG00000180855	19	12441112	ZNF443
ENSG00000242852	19	12484829	ZNF709
ENSG00000108924	17	55265012	HLF
ENSG00000108924	17	55265810	HLF
ENSG00000108924	17	55266222	HLF
ENSG00000108924	17	55267591	HLF
ENSG00000108924	17	55267615	HLF
ENSG00000108924	17	55267816	HLF
ENSG00000073282	3	189631427	TP63
ENSG00000073282	3	189631488	TP63
ENSG00000073282	3	189631516	TP63
ENSG00000073282	3	189789660	TP63
ENSG00000073282	3	189789675	TP63
ENSG00000073282	3	189789801	TP63
ENSG00000174796	4	75514473	THAP6
ENSG00000174796	4	75514520	THAP6
ENSG00000102034	X	130110716	ELF4
ENSG00000102034	X	130110495	ELF4
ENSG00000102034	X	130110361	ELF4
ENSG00000102034	X	130081432	ELF4
ENSG00000153234	2	156332716	NR4A2
ENSG00000153234	2	156332714	NR4A2
ENSG00000153234	2	156342348	NR4A2
ENSG00000153234	2	156330788	NR4A2
ENSG00000153234	2	156331965	NR4A2
ENSG00000153234	2	156330707	NR4A2
ENSG00000153234	2	156330721	NR4A2
ENSG00000153234	2	156330121	NR4A2
ENSG00000153234	2	156332713	NR4A2
ENSG00000153234	2	156332720	NR4A2
ENSG00000143171	1	165445196	RXRG
ENSG00000143171	1	165445355	RXRG
ENSG00000118689	6	108559835	FOXO3
ENSG00000118689	6	108560866	FOXO3
ENSG00000118689	6	108656346	FOXO3
ENSG00000110851	12	107761160	PRDM4
ENSG00000196263	19	56507843	ZNF471
ENSG00000196263	19	56507850	ZNF471
ENSG00000111249	12	111034024	CUX2
ENSG00000157514	X	107716545	TSC22D3
ENSG00000157514	X	107717135	TSC22D3
ENSG00000157514	X	107775985	TSC22D3
ENSG00000157514	X	107775787	TSC22D3
ENSG00000157514	X	107775988	TSC22D3
ENSG00000157514	X	107722272	TSC22D3
ENSG00000157514	X	107777067	TSC22D3
ENSG00000157514	X	107777078	TSC22D3
ENSG00000157514	X	107716401	TSC22D3
ENSG00000157514	X	107777342	TSC22D3
ENSG00000157514	X	107777055	TSC22D3
ENSG00000157514	X	107776714	TSC22D3
ENSG00000157514	X	107776115	TSC22D3
ENSG00000157514	X	107776258	TSC22D3
ENSG00000157514	X	107777337	TSC22D3
ENSG00000157514	X	107777329	TSC22D3
ENSG00000147789	8	144827559	ZNF7
ENSG00000147789	8	144827618	ZNF7
ENSG00000135625	2	73293701	EGR4
ENSG00000117000	1	40161373	RLF
ENSG00000215372	8	7385558	ZNF705G
ENSG00000196437	19	37467229	ZNF569
ENSG00000196437	19	37467437	ZNF569
ENSG00000196437	19	37444959	ZNF569
ENSG00000237344	CHR_HSCHR6_MHC_COX_CTG1	32138654	PBX2
ENSG00000204611	19	52139917	ZNF616
ENSG00000185022	22	38201882	MAFF
ENSG00000185022	22	38201996	MAFF
ENSG00000185022	22	38202796	MAFF
ENSG00000185022	22	38213535	MAFF
ENSG00000185022	22	38201932	MAFF
ENSG00000185022	22	38203020	MAFF
ENSG00000123411	12	56007659	IKZF4
ENSG00000123411	12	56021080	IKZF4
ENSG00000123411	12	56019320	IKZF4
ENSG00000167384	19	44500522	ZNF180
ENSG00000184967	12	132144448	NOC4L
ENSG00000121297	19	31349547	TSHZ3
ENSG00000112365	6	109483237	ZBTB24
ENSG00000159885	19	44025363	ZNF222
ENSG00000159885	19	44025400	ZNF222
ENSG00000197372	19	23687202	ZNF675
ENSG00000095574	10	123008687	IKZF5
ENSG00000095574	10	123008817	IKZF5
ENSG00000229094	CHR_HSCHR6_MHC_DBB_CTG1	31160001	POU5F1
ENSG00000229094	CHR_HSCHR6_MHC_DBB_CTG1	31164434	POU5F1
ENSG00000162761	1	165356715	LMX1A
ENSG00000162761	1	165356241	LMX1A
ENSG00000162761	1	165355746	LMX1A
ENSG00000198715	1	156295672	GLMP
ENSG00000198715	1	156295689	GLMP
ENSG00000243943	2	27583030	ZNF512
ENSG00000243943	2	27582969	ZNF512
ENSG00000117010	1	40531561	ZNF684
ENSG00000196693	10	42638544	ZNF33B
ENSG00000169057	X	154097764	MECP2
ENSG00000147117	X	47370583	ZNF157
ENSG00000233890	CHR_HSCHR6_MHC_DBB_CTG1	31152269	TCF19
ENSG00000233890	CHR_HSCHR6_MHC_DBB_CTG1	31152274	TCF19
ENSG00000147124	X	47482585	ZNF41
ENSG00000147124	X	47482946	ZNF41
ENSG00000166888	12	57111433	STAT6
ENSG00000166888	12	57111346	STAT6
ENSG00000166888	12	57110306	STAT6
ENSG00000166888	12	57129100	STAT6
ENSG00000166888	12	57111359	STAT6
ENSG00000166888	12	57111374	STAT6
ENSG00000166888	12	57111353	STAT6
ENSG00000166888	12	57099794	STAT6
ENSG00000166888	12	57102990	STAT6
ENSG00000166888	12	57105252	STAT6
ENSG00000166888	12	57110543	STAT6
ENSG00000166888	12	57111231	STAT6
ENSG00000166888	12	57132139	STAT6
ENSG00000166888	12	57111192	STAT6
ENSG00000166888	12	57110289	STAT6
ENSG00000166888	12	57110340	STAT6
ENSG00000166888	12	57111413	STAT6
ENSG00000166888	12	57108278	STAT6
ENSG00000171872	1	44118850	KLF17
ENSG00000069812	1	6424670	HES2
ENSG00000069812	1	6419903	HES2
ENSG00000069812	1	6419919	HES2
ENSG00000170631	8	144950888	ZNF16
ENSG00000067066	2	230415942	SP100
ENSG00000067066	2	230416247	SP100
ENSG00000067066	2	230416266	SP100
ENSG00000067066	2	230416756	SP100
ENSG00000067066	2	230416156	SP100
ENSG00000181894	19	58150787	ZNF329
ENSG00000181894	19	58150778	ZNF329
ENSG00000181894	19	58155110	ZNF329
ENSG00000181894	19	58142664	ZNF329
ENSG00000256294	19	44113358	ZNF225
ENSG00000256294	19	44115545	ZNF225
ENSG00000178386	19	44052009	ZNF223
ENSG00000089116	12	113472072	LHX5
ENSG00000152454	19	57947671	ZNF256
ENSG00000138738	4	120922849	PRDM5
ENSG00000138738	4	120922858	PRDM5
ENSG00000138738	4	120922865	PRDM5
ENSG00000138738	4	120922870	PRDM5
ENSG00000116132	1	170663134	PRRX1
ENSG00000116132	1	170663906	PRRX1
ENSG00000183647	19	57599885	ZNF530
ENSG00000115568	2	218659524	ZNF142
ENSG00000115568	2	218659540	ZNF142
ENSG00000106829	9	79572615	TLE4
ENSG00000118217	1	161766294	ATF6
ENSG00000280706	CHR_HG2030_PATCH	133418244	REXO4
ENSG00000280706	CHR_HG2030_PATCH	133418192	REXO4
ENSG00000135100	12	120978651	HNF1A
ENSG00000135100	12	120978746	HNF1A
ENSG00000135100	12	120978749	HNF1A
ENSG00000232005	CHR_HSCHR6_MHC_MANN_CTG1	32229571	PBX2
ENSG00000130182	16	3099317	ZSCAN10
ENSG00000130182	16	3099292	ZSCAN10
ENSG00000130182	16	3099295	ZSCAN10
ENSG00000130182	16	3099261	ZSCAN10
ENSG00000130182	16	3099294	ZSCAN10
ENSG00000130182	16	3092860	ZSCAN10
ENSG00000185278	1	173868082	ZBTB37
ENSG00000185278	1	173868394	ZBTB37
ENSG00000185278	1	173868956	ZBTB37
ENSG00000185278	1	173868355	ZBTB37
ENSG00000164093	4	110623077	PITX2
ENSG00000164093	4	110623098	PITX2
ENSG00000164093	4	110637011	PITX2
ENSG00000164093	4	110637020	PITX2
ENSG00000164093	4	110637352	PITX2
ENSG00000164093	4	110642006	PITX2
ENSG00000164093	4	110642123	PITX2
ENSG00000185404	2	230327184	SP140L
ENSG00000185404	2	230342070	SP140L
ENSG00000131910	1	26913966	NR0B2
ENSG00000116604	1	156483430	MEF2D
ENSG00000116604	1	156500828	MEF2D
ENSG00000116604	1	156490599	MEF2D
ENSG00000183850	19	23116975	ZNF730
ENSG00000176472	19	43533204	ZNF575
ENSG00000176472	19	43533413	ZNF575
ENSG00000125952	14	65102517	MAX
ENSG00000125952	14	65102509	MAX
ENSG00000125952	14	65102544	MAX
ENSG00000125952	14	65102360	MAX
ENSG00000125952	14	65102470	MAX
ENSG00000125952	14	65102488	MAX
ENSG00000125952	14	65102387	MAX
ENSG00000125952	14	65102504	MAX
ENSG00000125952	14	65102519	MAX
ENSG00000120669	13	36214615	SOHLH2
ENSG00000120669	13	36214588	SOHLH2
ENSG00000121903	1	33472645	ZSCAN20
ENSG00000121903	1	33472651	ZSCAN20
ENSG00000132773	1	45339670	TOE1
ENSG00000177494	3	111595443	ZBED2
ENSG00000140009	14	64294410	ESR2
ENSG00000140009	14	64338096	ESR2
ENSG00000140009	14	64338112	ESR2
ENSG00000140009	14	64282985	ESR2
ENSG00000140009	14	64283036	ESR2
ENSG00000140009	14	64294360	ESR2
ENSG00000140009	14	64283075	ESR2
ENSG00000170122	9	118204	FOXD4
ENSG00000277015	CHR_HSCHR18_ALT2_CTG2_1	78980275	SALL3
ENSG00000277015	CHR_HSCHR18_ALT2_CTG2_1	78991682	SALL3
ENSG00000123685	1	212699985	BATF3
ENSG00000162772	1	212565334	ATF3
ENSG00000162772	1	212608670	ATF3
ENSG00000162772	1	212608915	ATF3
ENSG00000162772	1	212615022	ATF3
ENSG00000162772	1	212615178	ATF3
ENSG00000162772	1	212608628	ATF3
ENSG00000139352	12	102957686	ASCL1
ENSG00000164442	6	139374620	CITED2
ENSG00000164442	6	139374213	CITED2
ENSG00000164442	6	139374362	CITED2
ENSG00000164442	6	139374605	CITED2
ENSG00000179456	1	244051283	ZBTB18
ENSG00000179456	1	244048939	ZBTB18
ENSG00000171786	1	160367067	NHLH1
ENSG00000137504	11	85665102	CREBZF
ENSG00000137504	11	85664653	CREBZF
ENSG00000213967	19	23914882	ZNF726
ENSG00000213967	19	23914890	ZNF726
ENSG00000253831	1	157099808	ETV3L
ENSG00000085224	X	77786216	ATRX
ENSG00000171649	19	57584142	ZIK1
ENSG00000171649	19	57584260	ZIK1
ENSG00000177426	18	3447609	TGIF1
ENSG00000177426	18	3449704	TGIF1
ENSG00000177426	18	3449882	TGIF1
ENSG00000177426	18	3451593	TGIF1
ENSG00000177426	18	3451670	TGIF1
ENSG00000177426	18	3451677	TGIF1
ENSG00000177426	18	3455414	TGIF1
ENSG00000177426	18	3411927	TGIF1
ENSG00000177426	18	3412856	TGIF1
ENSG00000177426	18	3453774	TGIF1
ENSG00000177426	18	3449651	TGIF1
ENSG00000250571	8	143269358	GLI4
ENSG00000250571	8	143267437	GLI4
ENSG00000230797	X	21855987	YY2
ENSG00000072310	17	17836987	SREBF1
ENSG00000072310	17	17837002	SREBF1
ENSG00000136504	17	49788555	KAT7
ENSG00000136504	17	49788681	KAT7
ENSG00000136504	17	49788682	KAT7
ENSG00000136504	17	49788693	KAT7
ENSG00000136504	17	49788706	KAT7
ENSG00000136504	17	49789653	KAT7
ENSG00000221974	CHR_HSCHR6_MHC_QBL_CTG1	30897757	GTF2H4
ENSG00000221974	CHR_HSCHR6_MHC_QBL_CTG1	30897794	GTF2H4
ENSG00000106459	7	129611747	NRF1
ENSG00000106459	7	129611756	NRF1
ENSG00000106459	7	129630068	NRF1
ENSG00000106459	7	129630078	NRF1
ENSG00000106459	7	129611714	NRF1
ENSG00000131264	X	73447254	CDX4
ENSG00000234852	CHR_HSCHR6_MHC_DBB_CTG1	31884173	ZBTB12
ENSG00000153207	1	246931363	AHCTF1
ENSG00000153207	1	246931424	AHCTF1
ENSG00000204920	19	43984194	ZNF155
ENSG00000204920	19	43984203	ZNF155
ENSG00000204920	19	43984217	ZNF155
ENSG00000204920	19	43984170	ZNF155
ENSG00000169136	19	49928702	ATF5
ENSG00000169136	19	49929143	ATF5
ENSG00000169136	19	49929222	ATF5
ENSG00000169136	19	49930219	ATF5
ENSG00000269343	19	57830295	ZNF587B
ENSG00000083828	19	57769655	ZNF586
ENSG00000083828	19	57769670	ZNF586
ENSG00000083828	19	57769696	ZNF586
ENSG00000198466	19	57849857	ZNF587
ENSG00000198466	19	57849860	ZNF587
ENSG00000187140	1	63323041	FOXD3
ENSG00000164299	5	80319625	SPZ1
ENSG00000164299	5	80319975	SPZ1
ENSG00000196418	1	247172005	ZNF124
ENSG00000196418	1	247172016	ZNF124
ENSG00000196418	1	247171967	ZNF124
ENSG00000198597	19	30372412	ZNF536
ENSG00000184486	6	98834592	POU3F2
ENSG00000072364	5	132963634	AFF4
ENSG00000072364	5	132963618	AFF4
ENSG00000163565	1	159009892	IFI16
ENSG00000163565	1	159009918	IFI16
ENSG00000163565	1	159009927	IFI16
ENSG00000163565	1	159010010	IFI16
ENSG00000163565	1	159014681	IFI16
ENSG00000124459	19	43935259	ZNF45
ENSG00000124459	19	43922287	ZNF45
ENSG00000124459	19	43924312	ZNF45
ENSG00000196150	8	144901461	ZNF250
ENSG00000196150	8	144901431	ZNF250
ENSG00000117475	1	169367970	BLZF1
ENSG00000179981	18	75210755	TSHZ1
ENSG00000179981	18	75211529	TSHZ1
ENSG00000147862	9	14313985	NFIB
ENSG00000147862	9	14313667	NFIB
ENSG00000147862	9	14314069	NFIB
ENSG00000147862	9	14314519	NFIB
ENSG00000147862	9	14314582	NFIB
ENSG00000147862	9	14308073	NFIB
ENSG00000147862	9	14321948	NFIB
ENSG00000147862	9	14322060	NFIB
ENSG00000147862	9	14322338	NFIB
ENSG00000147862	9	14307928	NFIB
ENSG00000147862	9	14313648	NFIB
ENSG00000147862	9	14300231	NFIB
ENSG00000147862	9	14322001	NFIB
ENSG00000147862	9	14398983	NFIB
ENSG00000147862	9	14180792	NFIB
ENSG00000147862	9	14313843	NFIB
ENSG00000147862	9	14313957	NFIB
ENSG00000147862	9	14308013	NFIB
ENSG00000147862	9	14180802	NFIB
ENSG00000147862	9	14313963	NFIB
ENSG00000135374	11	34513800	ELF5
ENSG00000135374	11	34511799	ELF5
ENSG00000135374	11	34513805	ELF5
ENSG00000135374	11	34513765	ELF5
ENSG00000134954	11	128587558	ETS1
ENSG00000134954	11	128522201	ETS1
ENSG00000134954	11	128522264	ETS1
ENSG00000134954	11	128522304	ETS1
ENSG00000134954	11	128522310	ETS1
ENSG00000196653	3	44712646	ZNF502
ENSG00000196653	3	44712643	ZNF502
ENSG00000151090	3	24494822	THRB
ENSG00000151090	3	24494803	THRB
ENSG00000151090	3	24486595	THRB
ENSG00000151090	3	24495532	THRB
ENSG00000151090	3	24495756	THRB
ENSG00000151090	3	24495572	THRB
ENSG00000151090	3	24494880	THRB
ENSG00000151090	3	24494881	THRB
ENSG00000151090	3	24494828	THRB
ENSG00000151090	3	24494811	THRB
ENSG00000151090	3	24494731	THRB
ENSG00000151090	3	24165595	THRB
ENSG00000151090	3	24495005	THRB
ENSG00000117139	1	202809470	KDM5B
ENSG00000117139	1	202808481	KDM5B
ENSG00000152443	19	57746796	ZNF776
ENSG00000214534	11	71821548	ZNF705E
ENSG00000143194	1	166989109	MAEL
ENSG00000143194	1	166989089	MAEL
ENSG00000186416	X	119606443	NKRF
ENSG00000186416	X	119593150	NKRF
ENSG00000186416	X	119605883	NKRF
ENSG00000143365	1	151826091	RORC
ENSG00000143365	1	151831872	RORC
ENSG00000196597	9	96854488	ZNF782
ENSG00000196597	9	96853072	ZNF782
ENSG00000196109	19	22196951	ZNF676
ENSG00000232099	CHR_HSCHR6_MHC_MANN_CTG1	29680622	ZFP57
ENSG00000232099	CHR_HSCHR6_MHC_MANN_CTG1	29676676	ZFP57
ENSG00000232099	CHR_HSCHR6_MHC_MANN_CTG1	29676824	ZFP57
ENSG00000165684	9	136398797	SNAPC4
ENSG00000213015	19	55640896	ZNF580
ENSG00000213015	19	55641763	ZNF580
ENSG00000213015	19	55642097	ZNF580
ENSG00000171425	19	55635459	ZNF581
ENSG00000171425	19	55643547	ZNF581
ENSG00000171425	19	55643810	ZNF581
ENSG00000213928	14	24161053	IRF9
ENSG00000213928	14	24161273	IRF9
ENSG00000213928	14	24161293	IRF9
ENSG00000213928	14	24161301	IRF9
ENSG00000213928	14	24162996	IRF9
ENSG00000272333	19	35718019	KMT2B
ENSG00000179943	19	55599527	FIZ1
ENSG00000171443	19	55600369	ZNF524
ENSG00000171443	19	55601879	ZNF524
ENSG00000218891	19	55580821	ZNF579
ENSG00000181444	7	149773479	ZNF467
ENSG00000175727	12	122078722	MLXIP
ENSG00000175727	12	122127880	MLXIP
ENSG00000175727	12	122132525	MLXIP
ENSG00000175727	12	122134321	MLXIP
ENSG00000175727	12	122135628	MLXIP
ENSG00000175727	12	122133298	MLXIP
ENSG00000105880	7	97024831	DLX5
ENSG00000105880	7	97024950	DLX5
ENSG00000056277	X	130268899	ZNF280C
ENSG00000176222	19	43883964	ZNF404
ENSG00000213096	19	24087193	ZNF254
ENSG00000204514	19	57889037	ZNF814
ENSG00000117036	1	157138367	ETV3
ENSG00000117036	1	157138474	ETV3
ENSG00000278091	CHR_HSCHR19_1_CTG2	20929692	ZNF85
ENSG00000278091	CHR_HSCHR19_1_CTG2	20929704	ZNF85
ENSG00000278091	CHR_HSCHR19_1_CTG2	20929817	ZNF85
ENSG00000188786	1	37859620	MTF1
ENSG00000155545	5	56952118	MIER3
ENSG00000155545	5	56952125	MIER3
ENSG00000155545	5	56952113	MIER3
ENSG00000155545	5	56952122	MIER3
ENSG00000155545	5	56941133	MIER3
ENSG00000174197	15	41621536	MGA
ENSG00000174197	15	41660412	MGA
ENSG00000174197	15	41668828	MGA
ENSG00000174197	15	41668895	MGA
ENSG00000174197	15	41669724	MGA
ENSG00000174197	15	41734554	MGA
ENSG00000139154	12	19439674	AEBP2
ENSG00000139154	12	19439699	AEBP2
ENSG00000139154	12	19440581	AEBP2
ENSG00000066135	1	43650158	KDM4A
ENSG00000184895	Y	2787699	SRY
ENSG00000008196	6	50818723	TFAP2B
ENSG00000120837	12	104138289	NFYB
ENSG00000120837	12	104138017	NFYB
ENSG00000011590	19	35704527	ZBTB32
ENSG00000011590	19	35712928	ZBTB32
ENSG00000078699	20	33490087	CBFA2T2
ENSG00000078699	20	33490117	CBFA2T2
ENSG00000078699	20	33562334	CBFA2T2
ENSG00000078699	20	33562380	CBFA2T2
ENSG00000078699	20	33600336	CBFA2T2
ENSG00000078699	20	33562365	CBFA2T2
ENSG00000138378	2	191151590	STAT4
ENSG00000138378	2	191151260	STAT4
ENSG00000138378	2	191151555	STAT4
ENSG00000138378	2	191151560	STAT4
ENSG00000138378	2	191150971	STAT4
ENSG00000138378	2	191151596	STAT4
ENSG00000165588	14	56810469	OTX2
ENSG00000165588	14	56805663	OTX2
ENSG00000165588	14	56810448	OTX2
ENSG00000165588	14	56805648	OTX2
ENSG00000197279	6	28080975	ZNF165
ENSG00000052850	11	44310166	ALX4
ENSG00000119138	9	70414624	KLF9
ENSG00000185610	12	45051099	DBX2
ENSG00000162599	1	60865259	NFIA
ENSG00000162599	1	61053830	NFIA
ENSG00000162599	1	61077274	NFIA
ENSG00000162599	1	61081862	NFIA
ENSG00000162599	1	61082308	NFIA
ENSG00000162599	1	61082621	NFIA
ENSG00000162599	1	61082723	NFIA
ENSG00000162599	1	61082748	NFIA
ENSG00000162599	1	61082754	NFIA
ENSG00000162599	1	61088412	NFIA
ENSG00000162599	1	61352450	NFIA
ENSG00000162599	1	61404076	NFIA
ENSG00000125520	20	63739861	SLC2A4RG
ENSG00000118263	2	207165945	KLF7
ENSG00000118263	2	207167246	KLF7
ENSG00000118263	2	207166847	KLF7
ENSG00000118263	2	207165571	KLF7
ENSG00000118263	2	207134137	KLF7
ENSG00000100811	14	100238985	YY1
ENSG00000180535	7	98211427	BHLHA15
ENSG00000180535	7	98212254	BHLHA15
ENSG00000268041	19	41928516	AC010616.1
ENSG00000089225	12	114408387	TBX5
ENSG00000089225	12	114408442	TBX5
ENSG00000089225	12	114406084	TBX5
ENSG00000089225	12	114403898	TBX5
ENSG00000166268	12	69825304	MYRFL
ENSG00000166268	12	69825316	MYRFL
ENSG00000204519	19	57681979	ZNF551
ENSG00000196081	19	23250360	ZNF724
ENSG00000177311	3	141387812	ZBTB38
ENSG00000177311	3	141392719	ZBTB38
ENSG00000177311	3	141426116	ZBTB38
ENSG00000177311	3	141442389	ZBTB38
ENSG00000188785	19	57389850	ZNF548
ENSG00000188785	19	57389897	ZNF548
ENSG00000117713	1	26696033	ARID1A
ENSG00000117713	1	26696404	ARID1A
ENSG00000117713	1	26728912	ARID1A
ENSG00000186230	19	57435329	ZNF749
ENSG00000197128	19	57477570	ZNF772
ENSG00000197128	19	57477532	ZNF772
ENSG00000172493	4	87006988	AFF1
ENSG00000172493	4	86935002	AFF1
ENSG00000213973	19	22784107	ZNF99
ENSG00000185630	1	164559407	PBX1
ENSG00000185630	1	164559635	PBX1
ENSG00000185630	1	164559744	PBX1
ENSG00000185630	1	164559823	PBX1
ENSG00000185630	1	164562805	PBX1
ENSG00000185630	1	164626006	PBX1
ENSG00000185630	1	164630981	PBX1
ENSG00000185630	1	164772912	PBX1
ENSG00000185630	1	164787643	PBX1
ENSG00000185630	1	164792492	PBX1
ENSG00000132604	16	69385988	TERF2
ENSG00000170802	2	48314637	FOXN2
ENSG00000170802	2	48314710	FOXN2
ENSG00000170802	2	48346217	FOXN2
ENSG00000235109	6	28336134	ZSCAN31
ENSG00000235109	6	28354195	ZSCAN31
